UF,Mesorregião Geográfica,CD_Mun,Cidade,Zona,SELL OUT ANUAL,SELL OUT MÊS,POTENCIAL ANUAL,POTENCIAL MÊS,POPULAÇÃO ,PDV,%SHARE,Share_Calculado
PE,Sertão Pernambucano,2614303,Moreilândia,Zona Araripina,0,0.0,9960.0,830.0,10839,10.839,0.0,0.0
PE,Metropolitana de Recife,2609402,Moreno,Região Metroplitana Sul,17499,1458.25,134544.0,11212.0,57654,57.654,0.1300615412058508,13.006154120585087
PE,Mata Pernambucana,2609501,Nazaré da Mata,Região Metroplitana Norte,10608,884.0,44190.0,3682.5,32187,32.187,0.2400543109300746,24.005431093007466
PE,Metropolitana de Recife,2609600,Olinda,Região Metroplitana Litoral,94779,7898.25,1161594.0,96799.5,364717,364.717,0.0815939131917003,8.159391319170037
PE,Agreste Pernambucano,2609709,Orobó,Região Metroplitana Norte,10311,859.25,34452.0,2871.0,22412,22.412,0.2992859630790665,29.928596307906652
PE,São Francisco Pernambucano,2609808,Orocó,Zona Araripina,1770,147.5,17901.0,1491.75,14129,14.129,0.0988771577006871,9.887715770068711
PE,Sertão Pernambucano,2609907,Ouricuri,Zona Araripina,9480,790.0,121822.5,10151.875,68489,68.489,0.0778181370436495,7.781813704364956
PE,Mata Pernambucana,2610004,Palmares,Região Metroplitana Oeste,30786,2565.5,115134.0,9594.5,56475,56.475,0.267392777111887,26.739277711188702
PE,Agreste Pernambucano,2610103,Palmeirina,Zona Garanhus,648,54.0,7519.5,626.625,7104,7.104,0.0861759425493716,8.617594254937163
PE,Agreste Pernambucano,2610202,Panelas,Zona Garanhus,1206,100.5,23508.0,1959.0,23337,23.337,0.0513016845329249,5.130168453292496
PE,Agreste Pernambucano,2610301,Paranatama,Zona Garanhus,2598,216.5,14449.5,1204.125,12778,12.778,0.1797986089484065,17.97986089484065
PE,Sertão Pernambucano,2610400,Parnamirim,Zona Araripina,2394,199.5,27283.5,2273.625,18960,18.96,0.0877453405904667,8.774534059046676
PE,Agreste Pernambucano,2610509,Passira,Região Metroplitana Norte,5052,421.0,37398.0,3116.5,29744,29.744,0.1350874378309,13.508743783090004
PE,Mata Pernambucana,2610608,Paudalho,Região Metroplitana Norte,16686,1390.5,109431.0,9119.25,59924,59.924,0.1524796447076239,15.247964470762398
PE,Metropolitana de Recife,2610707,Paulista,Região Metroplitana Litoral,40629,3385.75,825829.5,68819.125,365144,365.144,0.0491978065690315,4.91978065690315
PE,Agreste Pernambucano,2610806,Pedra,Zona Arco Verde,4467,372.25,20212.5,1684.375,23671,23.671,0.2210018552875695,22.100185528756956
PE,Agreste Pernambucano,2610905,Pesqueira,Zona Arco Verde,10977,914.75,105796.5,8816.375,65481,65.481,0.1037557953240419,10.375579532404192
PE,São Francisco Pernambucano,2611002,Petrolândia,Zona Serra Talhada,11580,965.0,51081.0,4256.75,36104,36.104,0.2266987725377341,22.669877253773418
PE,São Francisco Pernambucano,2611101,Petrolina,Zona Petrolina,59727,4977.25,943660.5,78638.375,418444,418.444,0.0632928897627907,6.329288976279075
PE,Agreste Pernambucano,2611200,Poção,Zona Arco Verde,0,0.0,20283.0,1690.25,10792,10.792,0.0,0.0
PE,Mata Pernambucana,2611309,Pombos,Região Metroplitana Oeste,42456,3538.0,38100.0,3175.0,26942,26.942,1.1143307086614174,111.43307086614173
PE,Mata Pernambucana,2611408,Primavera,Região Metroplitana Oeste,1113,92.75,9883.5,823.625,14380,14.38,0.1126119289725299,11.261192897252997
