CD_Mun,Cidade,Zona,Cor,UF,Mesorregião Geográfica
2612208,Salgueiro,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2612307,Saloá,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2612406,Sanharó,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2411205,Santa Cruz,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2612471,Santa Cruz da Baixa Verde,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2612505,Santa Cruz do Capibaribe,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2209203,Santa Filomena,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2612604,Santa Maria da Boa Vista,Zona Petrolina,#F8C471,PE,São Francisco Pernambucano
2612703,Santa Maria do Cambucá,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2612802,Santa Terezinha,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2612901,São Benedito do Sul,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2613008,São Bento do Una,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2613107,São Caitano,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2613206,São João,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2613305,São Joaquim do Monte,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2613404,São José da Coroa Grande,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2613503,São José do Belmonte,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2613602,São José do Egito,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2613701,São Lourenço da Mata,Região Metroplitana Litoral,#45B7D1,PE,Metropolitana de Recife
2111706,São Vicente Ferrer,Região Metroplitana Norte,#96CEB4,PE,Agreste Pernambucano
2613909,Serra Talhada,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2614006,Serrita,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2614105,Sertânia,Caruaru Sul,#4ECDC4,PE,Sertão Pernambucano
2614204,Sirinhaém,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2614402,Solidão,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2614501,Surubim,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2614600,Tabira,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2614709,Tacaimbó,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2614808,Tacaratu,Zona Araripina,#98D8C8,PE,São Francisco Pernambucano
2614857,Tamandaré,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2615003,Taquaritinga do Norte,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2615102,Terezinha,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2615201,Terra Nova,Zona Petrolina,#F8C471,PE,São Francisco Pernambucano
2615300,Timbaúba,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2615409,Toritama,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2615508,Tracunhaém,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2615607,Trindade,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2516805,Triunfo,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2615805,Tupanatinga,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2615904,Tuparetama,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2616001,Venturosa,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2616100,Verdejante,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2616183,Vertente do Lério,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2616209,Vertentes,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2616308,Vicência,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2616407,Vitória de Santo Antão,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2616506,Xexéu,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
